frame,time_seconds,gaze_x,gaze_y,paper_distance_pixels,assembly_distance_pixels,raw_state,paper_present,assembly_object_count,filtered_state
96,9.6,753,470,587.1728876574599,0.0,assembly,1,2,assembly
97,9.7,0,0,nan,nan,invalid,1,2,invalid
98,9.8,711,478,507.8789225789942,0.6153846153846154,assembly,1,2,assembly
99,9.9,709,481,489.1805791570126,3.041052449399714,assembly,1,2,assembly
100,10.0,722,487,467.61629569552,0.0,assembly,1,2,assembly
101,10.1,0,0,nan,nan,invalid,1,2,invalid
102,10.2,199,477,0.0,679.0,instruction,1,2,instruction
103,10.3,231,473,0.0,631.0792343279883,instruction,1,2,instruction
104,10.4,224,478,0.0,645.0193795538239,instruction,1,2,instruction
105,10.5,237,481,0.0,646.0007739933444,instruction,1,2,instruction
106,10.6,252,476,0.0,637.0070643250356,instruction,1,2,instruction
107,10.7,244,476,0.0,647.0,instruction,1,2,instruction
108,10.8,236,474,0.0,630.0285707807226,instruction,1,2,instruction
109,10.9,0,0,nan,nan,invalid,1,2,invalid
110,11.0,846,449,494.63218657907817,0.0,assembly,1,2,assembly
111,11.1,821,447,491.0040733028597,0.0,assembly,1,2,assembly
112,11.2,818,450,485.9651080138332,0.0,assembly,1,2,assembly
113,11.3,0,0,nan,nan,invalid,1,2,invalid
114,11.4,0,0,nan,nan,invalid,1,2,invalid
115,11.5,299,476,0.0,620.0,instruction,1,2,instruction
116,11.6,303,482,0.0,610.0032786797133,instruction,1,2,instruction
117,11.7,306,482,0.0,608.0296045424104,instruction,1,2,instruction
118,11.8,304,483,0.0,612.2360655825496,instruction,1,2,instruction
119,11.9,289,483,0.0,624.0969475970861,instruction,1,2,instruction
120,12.0,269,483,0.0,609.1847010554352,instruction,1,2,instruction
121,12.1,0,0,nan,nan,invalid,1,2,invalid
122,12.2,868,428,592.1418748914824,16.492422502470642,assembly,1,2,assembly
123,12.3,838,422,589.733838269435,12.56129437290209,assembly,1,2,assembly
124,12.4,817,417,573.8928471413457,0.0,assembly,1,2,assembly
125,12.5,816,414,568.5991558206889,0.0,assembly,1,2,assembly
126,12.6,813,414,563.6000354861593,0.0,assembly,1,2,assembly
127,12.7,755,437,515.139786854015,0.0,assembly,1,2,assembly
128,12.8,755,439,515.450288582711,11.877045936742277,assembly,1,2,assembly
129,12.9,757,442,515.4609587543949,11.90630845373473,assembly,1,2,assembly
130,13.0,839,438,588.204896273399,6.082762530298219,assembly,1,2,assembly
131,13.1,832,442,577.8096572401677,0.0,assembly,1,2,assembly
132,13.2,837,448,583.3498092911319,0.0,assembly,1,2,assembly
133,13.3,839,454,572.9336785353083,1.0945409092309881,assembly,1,2,assembly
134,13.4,0,0,nan,nan,invalid,1,2,invalid
135,13.5,145,484,0.0,676.9239248246438,instruction,1,2,instruction
136,13.6,211,474,0.0,677.8532289515186,instruction,1,2,instruction
137,13.7,254,473,0.0,648.9445276755171,instruction,1,2,instruction
138,13.8,253,470,0.0,649.4921092669256,instruction,1,2,instruction
139,13.9,254,467,0.0,627.9936305409475,instruction,1,2,instruction
140,14.0,0,0,nan,nan,invalid,1,2,invalid
141,14.1,877,363,523.4739726099092,5.314796216557077,assembly,1,2,assembly
142,14.2,829,361,500.3009094535008,0.0,assembly,1,2,assembly
143,14.3,794,356,469.9106298010293,0.0,assembly,1,2,assembly
144,14.4,744,346,437.6494030614003,22.374089922268897,assembly,1,2,assembly
145,14.5,707,356,423.6153915995027,33.52610922848042,elsewhere,1,2,assembly
146,14.6,695,367,429.69407722238856,37.11508026233242,elsewhere,1,2,assembly
147,14.7,706,386,456.01754352217637,0.0,assembly,1,2,assembly
148,14.8,701,396,452.86863437425205,0.0,assembly,1,2,assembly
149,14.9,703,408,444.56945464122924,2.8815954611878194,assembly,1,2,assembly
150,15.0,0,0,nan,nan,invalid,1,2,invalid
151,15.1,476,263,145.15164484083533,265.6633207652121,elsewhere,1,2,elsewhere
152,15.2,500,272,169.04733065032408,223.66492796144863,elsewhere,1,2,elsewhere
153,15.3,507,275,157.4325252290644,207.61828279646124,elsewhere,1,2,elsewhere
154,15.4,522,271,155.59562975867928,200.26232796010336,elsewhere,1,2,elsewhere
155,15.5,542,263,160.5801980320114,213.3846292496252,elsewhere,1,2,elsewhere
156,15.6,557,270,161.01242188104618,218.8172753691993,elsewhere,1,2,elsewhere
157,15.7,569,285,155.2063143045411,237.04426544392948,elsewhere,1,2,elsewhere
158,15.8,0,0,nan,nan,invalid,1,2,invalid
159,15.9,617,319,127.47548783981962,278.3038644876455,elsewhere,1,2,elsewhere
160,16.0,668,324,133.24038426843418,288.3319190346433,elsewhere,1,2,elsewhere
161,16.1,700,316,126.37246535539299,297.18783736961245,elsewhere,1,2,elsewhere
162,16.2,722,307,147.5127113166862,305.2311963971338,elsewhere,1,2,elsewhere
163,16.3,697,330,143.01398533010678,271.4383776523665,elsewhere,1,2,elsewhere
164,16.4,726,350,185.60711193270586,239.52541134587864,elsewhere,1,2,elsewhere
165,16.5,735,366,219.10727965998757,225.72871847312481,elsewhere,1,2,elsewhere
166,16.6,781,411,286.27259736132623,192.50194804209124,elsewhere,1,2,elsewhere
167,16.7,771,416,281.8166243430248,214.18916872708573,elsewhere,1,2,elsewhere
168,16.8,694,276,212.6240814207083,370.4863109671095,elsewhere,1,2,elsewhere
169,16.9,694,284,215.4738963308549,363.8406122793129,elsewhere,1,2,elsewhere
170,17.0,683,292,205.5723716845238,78.0,elsewhere,1,3,elsewhere
171,17.1,676,296,197.99494943053472,86.45742544312719,elsewhere,1,3,elsewhere
172,17.2,821,257,357.4143253984093,123.47064428438041,elsewhere,1,3,elsewhere
173,17.3,814,250,357.76668374794207,128.4445405612866,elsewhere,1,3,elsewhere
174,17.4,781,214,344.47205982488623,169.3576098083579,elsewhere,1,3,elsewhere
175,17.5,772,216,338.1626827430845,164.2224101637776,elsewhere,1,3,elsewhere
176,17.6,678,236,243.82370680473218,139.26234236145822,elsewhere,1,3,elsewhere
177,17.7,0,0,nan,nan,invalid,1,3,invalid
178,17.8,530,329,83.05419917138447,198.33809518093088,elsewhere,1,3,elsewhere
179,17.9,0,0,nan,nan,invalid,1,3,invalid
180,18.0,544,449,168.8342382338369,0.0,assembly,1,3,assembly
181,18.1,550,406,220.4654167891191,0.0,assembly,1,3,assembly
182,18.2,574,333,250.64716236175505,0.0,assembly,1,3,assembly
183,18.3,560,322,231.07790893982056,0.0,assembly,1,3,assembly
184,18.4,567,313,216.03703386225243,0.0,assembly,1,3,assembly
185,18.5,577,310,227.03523955544875,0.0,assembly,1,3,assembly
186,18.6,554,302,205.24375751773792,0.0,assembly,1,3,assembly
187,18.7,548,297,195.04102132628407,11.045361017187261,assembly,1,3,assembly
188,18.8,556,298,205.0609665440988,2.7727242920997393,assembly,1,3,assembly
189,18.9,556,297,208.00961516237658,0.0,assembly,1,3,assembly
190,19.0,561,293,209.00239233080563,0.7158599835262723,assembly,1,3,assembly
191,19.1,574,291,220.00909072126996,0.0,assembly,1,3,assembly
192,19.2,587,287,233.0,0.0,assembly,1,3,assembly
193,19.3,578,288,222.0,0.0,assembly,1,3,assembly
194,19.4,555,259,196.46119209655632,26.385602134497518,assembly,1,3,assembly
195,19.5,568,244,239.8520377232597,43.963480419769645,elsewhere,1,3,assembly
196,19.6,580,251,313.5123602029113,7.280109889280518,assembly,1,3,assembly
197,19.7,570,248,339.9911763560931,20.509992535699105,assembly,1,3,assembly
198,19.8,564,236,346.77081768799405,32.01562118716424,elsewhere,1,3,assembly
199,19.9,603,249,365.13148316736533,62.0,elsewhere,1,3,assembly
